year,state,county_name,democratic_pres_votes,other_pres_votes,republican_pres_votes,total_pres_votes
2012,wisconsin,oneida,10452.0,283.0,10917.0,21652.0
2012,wisconsin,outagamie,45659.0,1565.0,47372.0,94596.0
2012,wisconsin,ozaukee,19159.0,581.0,36077.0,55817.0
2012,wisconsin,pepin,1876.0,29.0,1794.0,3699.0
2012,wisconsin,pierce,10235.0,388.0,10397.0,21020.0
2012,wisconsin,polk,10073.0,406.0,12094.0,22573.0
2012,wisconsin,portage,22075.0,647.0,16615.0,39337.0
2012,wisconsin,price,3887.0,130.0,3884.0,7901.0
2012,wisconsin,racine,53008.0,1009.0,49347.0,103364.0
2012,wisconsin,richland,4969.0,113.0,3573.0,8655.0
2012,wisconsin,rock,49219.0,954.0,30517.0,80690.0
2012,wisconsin,rusk,3397.0,118.0,3676.0,7191.0
2012,wisconsin,sauk,18736.0,353.0,12838.0,31927.0
2012,wisconsin,sawyer,4486.0,97.0,4442.0,9025.0
2012,wisconsin,shawano,9000.0,257.0,11022.0,20279.0
2012,wisconsin,sheboygan,27918.0,661.0,34072.0,62651.0
2012,wisconsin,st. croix,19910.0,812.0,25503.0,46225.0
2012,wisconsin,taylor,3763.0,148.0,5601.0,9512.0
2012,wisconsin,trempealeau,7605.0,169.0,5707.0,13481.0
2012,wisconsin,vernon,8044.0,283.0,5942.0,14269.0
2012,wisconsin,vilas,5951.0,142.0,7749.0,13842.0
2012,wisconsin,walworth,22552.0,745.0,29006.0,52303.0
2012,wisconsin,washburn,4447.0,141.0,4699.0,9287.0
2012,wisconsin,washington,23166.0,811.0,54765.0,78742.0
2012,wisconsin,waukesha,78779.0,2279.0,162798.0,243856.0
2012,wisconsin,waupaca,11578.0,260.0,17002.0,28840.0
2012,wisconsin,waushara,5335.0,151.0,6562.0,12048.0
2012,wisconsin,winnebago,45449.0,1602.0,42122.0,89173.0
2012,wisconsin,wood,18581.0,615.0,19704.0,38900.0
2012,wyoming,albany,7458.0,976.0,7866.0,16300.0
2012,wyoming,big horn,868.0,171.0,4285.0,5324.0
2012,wyoming,campbell,2163.0,455.0,14953.0,17571.0
2012,wyoming,carbon,2110.0,251.0,4148.0,6509.0
2012,wyoming,converse,1089.0,211.0,5043.0,6343.0
2012,wyoming,crook,426.0,150.0,3109.0,3685.0
2012,wyoming,fremont,5333.0,531.0,11075.0,16939.0
2012,wyoming,goshen,1458.0,170.0,4178.0,5806.0
2012,wyoming,hot springs,523.0,97.0,1895.0,2515.0
2012,wyoming,johnson,749.0,147.0,3363.0,4259.0
2012,wyoming,laramie,14295.0,1306.0,23904.0,39505.0
2012,wyoming,lincoln,1287.0,187.0,7144.0,8618.0
2012,wyoming,natrona,8961.0,1280.0,22132.0,32373.0
2012,wyoming,niobrara,200.0,54.0,1022.0,1276.0
2012,wyoming,park,2927.0,447.0,11234.0,14608.0
2012,wyoming,platte,1223.0,172.0,3136.0,4531.0
2012,wyoming,sheridan,3618.0,437.0,10267.0,14322.0
2012,wyoming,sublette,767.0,137.0,3472.0,4376.0
2012,wyoming,sweetwater,4774.0,693.0,11428.0,16895.0
2012,wyoming,teton,6213.0,393.0,4858.0,11464.0
2012,wyoming,uinta,1628.0,296.0,6615.0,8539.0
2012,wyoming,washakie,794.0,136.0,3014.0,3944.0
2012,wyoming,weston,422.0,116.0,2821.0,3359.0
2016,alabama,autauga,5936.0,865.0,18172.0,24973.0
2016,alabama,baldwin,18458.0,3874.0,72883.0,95215.0
2016,alabama,barbour,4871.0,144.0,5454.0,10469.0
2016,alabama,bibb,1874.0,207.0,6738.0,8819.0
