County,Total_Population_County,Total_Population_Medicaid,Male_Total_Medicaid,Male_Under_19_Medicaid,Male_Under_19_With_Medicaid,Male_Under_19_No_Medicaid,Male_19_to_64_Medicaid,Male_19_to_64_With_Medicaid,Male_19_to_64_No_Medicaid,Male_65_and_Over_Medicaid,Male_65_and_Over_With_Medicaid,Male_65_and_Over_No_Medicaid,Female_Total_Medicaid,Female_Under_19_Medicaid,Female_Under_19_With_Medicaid,Female_Under_19_No_Medicaid,Female_19_to_64_Medicaid,Female_19_to_64_With_Medicaid,Female_19_to_64_No_Medicaid,Female_65_and_Over_Medicaid,Female_65_and_Over_With_Medicaid,Female_65_and_Over_No_Medicaid,state,county,Year
"Gaston County, North Carolina",208958,207081,98372,24865,8240,16625,62616,5432,57184,10891,906,9985,108709,25705,8977,16728,67212,9131,58081,15792,2319,13473,37,071,2009
"Guilford County, North Carolina",480362,475249,227624,58379,19188,39191,144952,6305,138647,24293,3085,21208,247625,55823,17542,38281,158439,14189,144250,33363,4616,28747,37,081,2009
"Harnett County, North Carolina",115761,109895,49158,16143,5407,10736,28681,2884,25797,4334,470,3864,60737,14982,5158,9824,39802,4795,35007,5953,1276,4677,37,085,2009
"Henderson County, North Carolina",103669,99366,49208,12070,3278,8792,28250,1835,26415,8888,519,8369,50158,9851,3795,6056,30027,2544,27483,10280,729,9551,37,089,2009
"Iredell County, North Carolina",158153,157043,77702,22305,7214,15091,47297,2355,44942,8100,510,7590,79341,18539,5683,12856,49253,5774,43479,11549,1577,9972,37,097,2009
"Johnston County, North Carolina",168525,166805,83200,24776,10096,14680,51971,3835,48136,6453,368,6085,83605,22719,8446,14273,52616,5437,47179,8270,1470,6800,37,101,2009
"Lincoln County, North Carolina",76043,72945,36133,9785,3891,5894,21899,1622,20277,4449,534,3915,36812,8796,1754,7042,23014,1945,21069,5002,830,4172,37,109,2009
"Mecklenburg County, North Carolina",913639,908095,444430,121584,36332,85252,290669,11585,279084,32177,2852,29325,463665,115844,35059,80785,304319,24252,280067,43502,3614,39888,37,119,2009
"Moore County, North Carolina",87158,84579,40811,10268,5248,5020,22516,1718,20798,8027,727,7300,43768,8992,3592,5400,25386,2364,23022,9390,1111,8279,37,125,2009
"Nash County, North Carolina",94743,93735,44721,11912,4616,7296,27179,3031,24148,5630,892,4738,49014,11361,3595,7766,29374,3894,25480,8279,1064,7215,37,127,2009
"New Hanover County, North Carolina",195085,192838,91620,19545,6147,13398,60940,4968,55972,11135,425,10710,101218,20074,6996,13078,66544,6294,60250,14600,1674,12926,37,129,2009
"Onslow County, North Carolina",173064,123827,50195,20085,6089,13996,24907,1881,23026,5203,546,4657,73632,20097,3917,16180,47376,3954,43422,6159,1016,5143,37,133,2009
"Orange County, North Carolina",129083,128541,61217,14128,4338,9790,41403,778,40625,5686,445,5241,67324,12633,2953,9680,47035,1639,45396,7656,873,6783,37,135,2009
"Pitt County, North Carolina",159057,157522,74644,18163,5665,12498,50330,3105,47225,6151,1399,4752,82878,18141,5719,12422,55491,4430,51061,9246,2295,6951,37,147,2009
"Randolph County, North Carolina",142151,141137,68173,16422,9259,7163,43773,2572,41201,7978,870,7108,72964,18220,10046,8174,43917,5407,38510,10827,1569,9258,37,151,2009
"Robeson County, North Carolina",129559,126103,61051,18780,10586,8194,36806,5839,30967,5465,436,5029,65052,17203,11621,5582,39997,9086,30911,7852,1240,6612,37,155,2009
"Rockingham County, North Carolina",92252,91645,44016,10777,4952,5825,27552,3714,23838,5687,550,5137,47629,10194,4179,6015,28964,4203,24761,8471,1087,7384,37,157,2009
"Rowan County, North Carolina",140798,138561,68060,17138,7748,9390,42829,3340,39489,8093,1026,7067,70501,15989,7160,8829,42831,4653,38178,11681,2189,9492,37,159,2009
"Surry County, North Carolina",72496,71447,34929,9109,4078,5031,20902,1594,19308,4918,525,4393,36518,8139,3570,4569,21281,2537,18744,7098,906,6192,37,171,2009
"Union County, North Carolina",198645,197565,97397,29812,7012,22800,60030,3066,56964,7555,582,6973,100168,29970,7608,22362,60676,4385,56291,9522,861,8661,37,179,2009
"Wake County, North Carolina",897214,889710,439375,121324,27998,93326,286958,10408,276550,31093,2994,28099,450335,115745,22717,93028,293853,15737,278116,40737,4941,35796,37,183,2009
"Wayne County, North Carolina",113811,106680,50210,14816,8470,6346,29489,3789,25700,5905,1052,4853,56470,14000,7204,6796,34484,5618,28866,7986,1661,6325,37,191,2009
"Wilkes County, North Carolina",66555,64876,30962,7406,3247,4159,18947,1863,17084,4609,531,4078,33914,7472,4071,3401,20539,3291,17248,5903,1029,4874,37,193,2009
"Wilson County, North Carolina",78353,78341,37480,10090,4501,5589,23049,2146,20903,4341,585,3756,40861,9686,4631,5055,24623,3349,21274,6552,1289,5263,37,195,2009
"Burleigh County, North Dakota",79822,78404,37380,8854,1326,7528,24139,647,23492,4387,575,3812,41024,8555,818,7737,26021,1927,24094,6448,883,5565,38,015,2009
"Cass County, North Dakota",143339,141944,71572,16078,3015,13063,49727,1483,48244,5767,727,5040,70372,14967,2552,12415,47797,2126,45671,7608,850,6758,38,017,2009
"Grand Forks County, North Dakota",66414,65275,33202,7131,1769,5362,23132,1106,22026,2939,137,2802,32073,6264,1620,4644,21793,1400,20393,4016,175,3841,38,035,2009
