County,Total_Population_County,Total_Population_Medicaid,Male_Total_Medicaid,Male_Under_19_Medicaid,Male_Under_19_With_Medicaid,Male_Under_19_No_Medicaid,Male_19_to_64_Medicaid,Male_19_to_64_With_Medicaid,Male_19_to_64_No_Medicaid,Male_65_and_Over_Medicaid,Male_65_and_Over_With_Medicaid,Male_65_and_Over_No_Medicaid,Female_Total_Medicaid,Female_Under_19_Medicaid,Female_Under_19_With_Medicaid,Female_Under_19_No_Medicaid,Female_19_to_64_Medicaid,Female_19_to_64_With_Medicaid,Female_19_to_64_No_Medicaid,Female_65_and_Over_Medicaid,Female_65_and_Over_With_Medicaid,Female_65_and_Over_No_Medicaid,state,county,Year
"Caddo Parish, Louisiana",257093,251753,118966,32527,18266,14261,72111,7849,64262,14328,1592,12736,132787,30635,17778,12857,81841,14318,67523,20311,4185,16126,22,017,2012
"Calcasieu Parish, Louisiana",194493,192012,92965,25047,12583,12464,56967,4878,52089,10951,969,9982,99047,23599,9999,13600,61259,8188,53071,14189,1789,12400,22,019,2012
"East Baton Rouge Parish, Louisiana",444526,441341,211775,51422,24203,27219,139142,10111,129031,21211,2065,19146,229566,50147,28016,22131,150031,18826,131205,29388,5208,24180,22,033,2012
"Iberia Parish, Louisiana",73999,73172,35492,9991,4579,5412,21309,1461,19848,4192,441,3751,37680,9831,5944,3887,22777,4324,18453,5072,955,4117,22,045,2012
"Jefferson Parish, Louisiana",433676,430603,208290,48349,24556,23793,134038,12540,121498,25903,3235,22668,222313,47743,23729,24014,139473,20695,118778,35097,6966,28131,22,051,2012
"Lafayette Parish, Louisiana",227055,224601,110214,28658,13818,14840,71453,3917,67536,10103,687,9416,114387,26254,11628,14626,75111,8869,66242,13022,2012,11010,22,055,2012
"Lafourche Parish, Louisiana",97029,96240,46835,11579,5610,5969,29370,2306,27064,5886,530,5356,49405,11690,5630,6060,30379,3676,26703,7336,1452,5884,22,057,2012
"Livingston Parish, Louisiana",131942,130982,64177,18278,9305,8973,39346,2167,37179,6553,337,6216,66805,17201,6751,10450,41741,4375,37366,7863,1363,6500,22,063,2012
"Orleans Parish, Louisiana",369250,363448,172842,39949,22316,17633,115750,15842,99908,17143,4390,12753,190606,39054,22681,16373,127731,25633,102098,23821,6500,17321,22,071,2012
"Ouachita Parish, Louisiana",155363,148890,68801,20642,7532,13110,40153,2962,37191,8006,955,7051,80089,19746,8397,11349,49341,6993,42348,11002,1914,9088,22,073,2012
"Rapides Parish, Louisiana",132373,129206,61435,17796,10131,7665,36060,5208,30852,7579,1821,5758,67771,16710,9010,7700,40932,6663,34269,10129,2753,7376,22,079,2012
"St. Landry Parish, Louisiana",83662,82577,39493,11518,5927,5591,23123,2834,20289,4852,486,4366,43084,11447,4638,6809,25378,4009,21369,6259,1368,4891,22,097,2012
"St. Tammany Parish, Louisiana",239453,237169,114395,29727,12587,17140,70121,4379,65742,14547,939,13608,122774,29845,12514,17331,75159,7228,67931,17770,2174,15596,22,103,2012
"Tangipahoa Parish, Louisiana",123441,122677,59339,15830,8956,6874,37093,3155,33938,6416,1112,5304,63338,15055,7869,7186,39766,6646,33120,8517,1626,6891,22,105,2012
"Terrebonne Parish, Louisiana",111893,110511,53190,13950,7101,6849,33418,2507,30911,5822,808,5014,57321,14714,7135,7579,34700,4617,30083,7907,1343,6564,22,109,2012
"Androscoggin County, Maine",107609,106684,52453,12386,5383,7003,33316,4643,28673,6751,1382,5369,54231,11237,4634,6603,33988,6558,27430,9006,3014,5992,23,001,2012
"Aroostook County, Maine",70868,69792,33832,6664,3567,3097,20945,4250,16695,6223,2096,4127,35960,6920,3589,3331,21495,6745,14750,7545,2560,4985,23,003,2012
"Cumberland County, Maine",283921,280771,136501,29825,10053,19772,88710,9606,79104,17966,1791,16175,144270,27275,7382,19893,93089,12829,80260,23906,3460,20446,23,005,2012
"Kennebec County, Maine",121853,120639,58180,12117,4995,7122,37240,7860,29380,8823,1805,7018,62459,12381,6060,6321,39500,9036,30464,10578,1789,8789,23,011,2012
"Penobscot County, Maine",153746,152101,74533,14850,6927,7923,49198,8992,40206,10485,1912,8573,77568,14410,7571,6839,50702,12682,38020,12456,2990,9466,23,019,2012
"York County, Maine",199005,197632,96586,21415,7610,13805,60651,8997,51654,14520,1462,13058,101046,19652,8104,11548,63637,11828,51809,17757,2613,15144,23,031,2012
"Allegany County, Maryland",74012,68524,33527,6789,3656,3133,21275,2694,18581,5463,577,4886,34997,6255,3161,3094,21175,4721,16454,7567,1331,6236,24,001,2012
"Anne Arundel County, Maryland",550488,529961,256371,63332,14010,49322,162301,7790,154511,30738,1832,28906,273590,61915,12959,48956,173810,13086,160724,37865,4763,33102,24,003,2012
"Baltimore County, Maryland",817455,808726,382498,89900,26440,63460,243063,19835,223228,49535,4866,44669,426228,86922,25038,61884,270451,33035,237416,68855,5204,63651,24,005,2012
"Calvert County, Maryland",89628,88412,44479,12317,2549,9768,27507,1337,26170,4655,357,4298,43933,9836,2950,6886,28422,3249,25173,5675,417,5258,24,009,2012
"Carroll County, Maryland",167217,165199,81508,19900,3102,16798,51147,1976,49171,10461,1255,9206,83691,19017,3252,15765,52167,3588,48579,12507,1167,11340,24,013,2012
"Cecil County, Maryland",101696,100354,49400,12621,4291,8330,30915,4721,26194,5864,426,5438,50954,11779,4033,7746,32453,4777,27676,6722,1078,5644,24,015,2012
"Charles County, Maryland",150592,148432,70738,19109,3742,15367,44820,2238,42582,6809,437,6372,77694,19148,3907,15241,50275,4039,46236,8271,1532,6739,24,017,2012
"Frederick County, Maryland",239582,237306,117216,30166,6942,23224,74482,3365,71117,12568,1339,11229,120090,27907,5903,22004,76892,5557,71335,15291,1852,13439,24,021,2012
"Harford County, Maryland",248622,246068,119728,29319,8235,21084,75685,4834,70851,14724,1607,13117,126340,28977,7615,21362,79399,7769,71630,17964,2432,15532,24,025,2012
"Howard County, Maryland",299430,297159,144205,37573,3963,33610,92078,2842,89236,14554,897,13657,152954,36759,4201,32558,97722,4928,92794,18473,2747,15726,24,027,2012
"Montgomery County, Maryland",1004709,996434,478852,120408,29462,90946,304482,11362,293120,53962,4716,49246,517582,115723,27481,88242,329665,21543,308122,72194,10237,61957,24,031,2012
"Prince George's County, Maryland",881138,873778,419161,103397,40783,62614,278608,20699,257909,37156,4994,32162,454617,99566,37477,62089,304067,33188,270879,50984,7561,43423,24,033,2012
"St. Mary's County, Maryland",108987,106623,52084,13806,2659,11147,32953,2674,30279,5325,166,5159,54539,13869,2919,10950,34689,3788,30901,5981,576,5405,24,037,2012
"Washington County, Maryland",149180,140688,68608,17144,6361,10783,42230,4651,37579,9234,1047,8187,72080,16105,6516,9589,44266,6817,37449,11709,1318,10391,24,043,2012
"Wicomico County, Maryland",100647,99357,47523,11452,5149,6303,30479,3285,27194,5592,823,4769,51834,10720,4172,6548,33813,5806,28007,7301,1043,6258,24,045,2012
"Baltimore city, Maryland",621342,610764,283984,67745,41561,26184,188391,32857,155534,27848,5665,22183,326780,65790,40161,25629,217289,56567,160722,43701,11979,31722,24,510,2012
"Barnstable County, Massachusetts",215423,212934,101671,18236,5628,12608,58702,10041,48661,24733,3076,21657,111263,17333,4330,13003,62564,11933,50631,31366,2823,28543,25,001,2012
"Berkshire County, Massachusetts",130016,127773,61242,12177,4250,7927,38517,8975,29542,10548,1269,9279,66531,11767,4328,7439,41159,11030,30129,13605,2150,11455,25,003,2012
"Bristol County, Massachusetts",551082,544045,263909,60921,24001,36920,169289,37260,132029,33699,5638,28061,280136,58150,22044,36106,177129,45502,131627,44857,10320,34537,25,005,2012
"Essex County, Massachusetts",755618,747702,359314,86918,31751,55167,226647,40804,185843,45749,7807,37942,388388,82801,30871,51930,243638,57915,185723,61949,13761,48188,25,009,2012
"Franklin County, Massachusetts",71540,70772,34220,6938,2398,4540,22313,5155,17158,4969,721,4248,36552,6560,2527,4033,23695,5215,18480,6297,881,5416,25,011,2012
"Hampden County, Massachusetts",465923,460416,222055,54991,32082,22909,139318,34349,104969,27746,5904,21842,238361,52276,25892,26384,147694,48146,99548,38391,8243,30148,25,013,2012
"Hampshire County, Massachusetts",159795,158399,74261,12940,4145,8795,52238,6946,45292,9083,1083,8000,84138,12033,2935,9098,60142,6930,53212,11963,1250,10713,25,015,2012
"Middlesex County, Massachusetts",1537215,1522473,739807,162738,35653,127085,491433,59405,432028,85636,11002,74634,782666,157120,33946,123174,509720,72021,437699,115826,19491,96335,25,017,2012
"Norfolk County, Massachusetts",681845,672348,319648,75623,12932,62691,202113,25357,176756,41912,5209,36703,352700,73505,12277,61228,222046,30509,191537,57149,10259,46890,25,021,2012
"Plymouth County, Massachusetts",499759,491339,237662,59146,17381,41765,146396,22769,123627,32120,4924,27196,253677,56172,12726,43446,157195,28482,128713,40310,7422,32888,25,023,2012
"Suffolk County, Massachusetts",744426,737023,355128,67027,36206,30821,256581,54236,202345,31520,8749,22771,381895,64722,33303,31419,271765,73834,197931,45408,13758,31650,25,025,2012
"Worcester County, Massachusetts",806163,794437,390652,93321,30745,62576,252251,43348,208903,45080,6394,38686,403785,89034,26457,62577,257462,56932,200530,57289,10739,46550,25,027,2012
"Allegan County, Michigan",112039,111353,55467,14598,5815,8783,33616,3365,30251,7253,883,6370,55886,14069,5175,8894,33521,5455,28066,8296,986,7310,26,005,2012
"Bay County, Michigan",106935,105950,51227,11543,3815,7728,32030,4446,27584,7654,563,7091,54723,11586,4744,6842,32795,5335,27460,10342,1881,8461,26,017,2012
"Berrien County, Michigan",156067,154647,75581,18411,8492,9919,45959,5366,40593,11211,1216,9995,79066,17442,7437,10005,47091,8596,38495,14533,2096,12437,26,021,2012
"Calhoun County, Michigan",135099,133493,65115,16143,7553,8590,40138,5466,34672,8834,1416,7418,68378,15751,5433,10318,41470,7617,33853,11157,1667,9490,26,025,2012
"Clinton County, Michigan",76001,75386,37284,9537,2747,6790,22726,1348,21378,5021,186,4835,38102,8645,2879,5766,23692,2148,21544,5765,457,5308,26,037,2012
"Eaton County, Michigan",108008,107389,51743,11687,2965,8722,32929,2216,30713,7127,791,6336,55646,12395,3606,8789,34780,3020,31760,8471,679,7792,26,045,2012
"Genesee County, Michigan",418408,415425,199966,51347,25875,25472,122522,23953,98569,26097,3640,22457,215459,49498,24399,25099,132052,32197,99855,33909,5011,28898,26,049,2012
"Grand Traverse County, Michigan",89112,87385,42660,9667,3702,5965,27049,1642,25407,5944,404,5540,44725,9249,3342,5907,27842,3417,24425,7634,576,7058,26,055,2012
"Ingham County, Michigan",281723,279974,135029,28657,13946,14711,93136,12372,80764,13236,1182,12054,144945,28368,12821,15547,98913,18359,80554,17664,1980,15684,26,065,2012
"Isabella County, Michigan",70617,69750,33198,5877,2780,3097,24345,2151,22194,2976,295,2681,36552,6563,3123,3440,26159,3206,22953,3830,668,3162,26,073,2012
"Jackson County, Michigan",160309,152447,75303,19354,8503,10851,45911,5939,39972,10038,962,9076,77144,17085,8402,8683,46984,8452,38532,13075,2235,10840,26,075,2012
"Kalamazoo County, Michigan",254580,252654,124284,28888,11697,17191,81363,8459,72904,14033,1096,12937,128370,27100,10121,16979,83678,12008,71670,17592,2211,15381,26,077,2012
"Kent County, Michigan",614462,610477,299477,80617,31868,48749,189340,14740,174600,29520,3226,26294,311000,77216,31506,45710,194291,29076,165215,39493,6409,33084,26,081,2012
"Lapeer County, Michigan",88173,86679,43364,10562,3994,6568,26915,2222,24693,5887,336,5551,43315,9785,4006,5779,26851,3193,23658,6679,827,5852,26,087,2012
"Lenawee County, Michigan",98987,95813,47584,11512,5186,6326,29481,2645,26836,6591,592,5999,48229,10395,4611,5784,29425,3760,25665,8409,760,7649,26,091,2012
"Livingston County, Michigan",182838,182034,90686,22544,3550,18994,56992,2706,54286,11150,683,10467,91348,21354,2987,18367,57209,3454,53755,12785,1409,11376,26,093,2012
"Macomb County, Michigan",847383,841091,408607,97300,31598,65702,258786,20669,238117,52521,5471,47050,432484,92009,29685,62324,269157,33345,235812,71318,9060,62258,26,099,2012
"Marquette County, Michigan",67906,65761,32516,6489,1631,4858,21546,2156,19390,4481,380,4101,33245,5932,1725,4207,21804,2686,19118,5509,635,4874,26,103,2012
"Midland County, Michigan",83822,83274,41099,9294,2523,6771,26253,2380,23873,5552,562,4990,42175,9436,2869,6567,25940,2830,23110,6799,792,6007,26,111,2012
"Monroe County, Michigan",151048,150183,73748,17284,4790,12494,46984,3788,43196,9480,934,8546,76435,17887,4274,13613,46854,6477,40377,11694,1345,10349,26,115,2012
"Muskegon County, Michigan",170182,165039,79720,21304,11535,9769,48484,6786,41698,9932,992,8940,85319,20127,10392,9735,51707,11939,39768,13485,2093,11392,26,121,2012
"Oakland County, Michigan",1220657,1214926,589382,141413,34855,106558,374410,24333,350077,73559,7223,66336,625544,134636,34501,100135,394811,34215,360596,96097,10924,85173,26,125,2012
"Ottawa County, Michigan",269099,267838,131852,34974,10722,24252,81764,4021,77743,15114,1926,13188,135986,33291,9926,23365,84810,6989,77821,17885,1663,16222,26,139,2012
"Saginaw County, Michigan",198353,195037,93630,22927,9678,13249,57203,10086,47117,13500,1363,12137,101407,21729,10106,11623,62206,13046,49160,17472,2532,14940,26,145,2012
"St. Clair County, Michigan",160644,159475,78810,18855,8214,10641,48863,5910,42953,11092,1141,9951,80665,17493,8214,9279,49805,8290,41515,13367,1951,11416,26,147,2012
"Shiawassee County, Michigan",69232,68783,34122,8244,3638,4606,21097,2854,18243,4781,352,4429,34661,7619,2799,4820,21125,3717,17408,5917,656,5261,26,155,2012
"Van Buren County, Michigan",75454,74995,36915,9253,4495,4758,22585,3211,19374,5077,675,4402,38080,9424,4875,4549,22576,3739,18837,6080,765,5315,26,159,2012
"Washtenaw County, Michigan",350946,348235,171298,36190,9203,26987,118275,9086,109189,16833,1579,15254,176937,33722,8260,25462,122016,12170,109846,21199,2884,18315,26,161,2012
"Wayne County, Michigan",1792365,1779900,855623,223392,117324,106068,536704,88025,448679,95527,16151,79376,924277,214907,114492,100415,574911,130532,444379,134459,26775,107684,26,163,2012
"Anoka County, Minnesota",336414,334205,166743,42845,8967,33878,107918,9137,98781,15980,1120,14860,167462,41275,8968,32307,106151,10501,95650,20036,1912,18124,27,003,2012
"Blue Earth County, Minnesota",65091,64570,32769,6832,2699,4133,22672,1998,20674,3265,208,3057,31801,5706,1062,4644,21752,2723,19029,4343,586,3757,27,013,2012
"Carver County, Minnesota",93707,93458,46418,13744,1332,12412,28857,1431,27426,3817,209,3608,47040,13531,2157,11374,28780,2043,26737,4729,373,4356,27,019,2012
"Dakota County, Minnesota",405088,403154,198112,52615,11270,41345,126714,7684,119030,18783,1086,17697,205042,50380,9066,41314,129874,11352,118522,24788,2037,22751,27,037,2012
"Hennepin County, Minnesota",1184576,1175049,577863,135556,38844,96712,384239,35971,348268,58068,6055,52013,597186,130542,36701,93841,389473,51079,338394,77171,9804,67367,27,053,2012
"Olmsted County, Minnesota",147066,144922,69466,18250,4236,14014,43486,3946,39540,7730,364,7366,75456,18420,4017,14403,46426,4932,41494,10610,1510,9100,27,109,2012
"Ramsey County, Minnesota",520152,515634,250909,62047,24226,37821,161793,20361,141432,27069,2165,24904,264725,59002,20816,38186,170384,28534,141850,35339,3612,31727,27,123,2012
"St. Louis County, Minnesota",200319,196584,98057,19354,5323,14031,64704,8430,56274,13999,1556,12443,98527,19068,5918,13150,61928,10357,51571,17531,2402,15129,27,137,2012
"Scott County, Minnesota",135152,133823,67330,20627,1154,19473,41552,1409,40143,5151,528,4623,66493,18921,1245,17676,41240,2402,38838,6332,389,5943,27,139,2012
"Sherburne County, Minnesota",89455,87656,44837,13205,2261,10944,28022,1807,26215,3610,233,3377,42819,12252,1413,10839,26563,1963,24600,4004,117,3887,27,141,2012
"Blount County, Tennessee",124177,122686,58885,13698,4566,9132,35846,3757,32089,9341,687,8654,63801,13297,5365,7932,39157,5397,33760,11347,1333,10014,47,009,2012
"Bradley County, Tennessee",101134,100197,48424,11619,4619,7000,30321,3476,26845,6484,800,5684,51773,11222,5553,5669,32331,6173,26158,8220,1898,6322,47,011,2012
"Davidson County, Tennessee",648295,639381,308023,71615,30851,40764,208237,14409,193828,28171,3627,24544,331358,69174,29144,40030,222594,28256,194338,39590,6889,32701,47,037,2012
"Greene County, Tennessee",68819,67650,33124,7022,3057,3965,20694,2546,18148,5408,625,4783,34526,6337,3549,2788,21311,4866,16445,6878,1109,5769,47,059,2012
"Hamilton County, Tennessee",345545,341926,164439,37857,13732,24125,104899,10079,94820,21683,2486,19197,177487,35864,12322,23542,111376,12852,98524,30247,4635,25612,47,065,2012
"Knox County, Tennessee",441311,438037,212695,48181,15064,33117,139374,9180,130194,25140,2420,22720,225342,46062,16037,30025,145486,17231,128255,33794,4175,29619,47,093,2012
"Madison County, Tennessee",98656,97525,46019,11763,5057,6706,28631,2853,25778,5625,805,4820,51506,11517,4703,6814,32239,5736,26503,7750,1334,6416,47,113,2012
"Maury County, Tennessee",81990,80763,38605,9780,4115,5665,24140,3068,21072,4685,57,4628,42158,9943,5442,4501,26046,4953,21093,6169,982,5187,47,119,2012
"Montgomery County, Tennessee",184468,170908,78931,24875,7037,17838,47646,3328,44318,6410,459,5951,91977,25043,8007,17036,58971,6455,52516,7963,833,7130,47,125,2012
"Putnam County, Tennessee",73229,72497,35657,7897,3707,4190,23099,1878,21221,4661,685,3976,36840,7581,3695,3886,23054,3531,19523,6205,827,5378,47,141,2012
"Robertson County, Tennessee",66931,66261,32906,9179,2854,6325,20030,823,19207,3697,246,3451,33355,7870,2461,5409,20626,2716,17910,4859,689,4170,47,147,2012
"Rutherford County, Tennessee",274454,272190,134624,36244,12145,24099,87662,4482,83180,10718,1413,9305,137566,34011,10533,23478,90244,9957,80287,13311,1937,11374,47,149,2012
"Sevier County, Tennessee",92512,91611,45728,10590,4363,6227,28134,2211,25923,7004,623,6381,45883,8785,3472,5313,28777,3583,25194,8321,1510,6811,47,155,2012
"Shelby County, Tennessee",940764,928967,440123,122773,50030,72743,277172,26360,250812,40178,4983,35195,488844,119280,50703,68577,311060,51106,259954,58504,9898,48606,47,157,2012
"Sullivan County, Tennessee",156786,154855,73889,16053,6226,9827,44843,4617,40226,12993,1068,11925,80966,15773,6661,9112,48306,8184,40122,16887,2430,14457,47,163,2012
"Sumner County, Tennessee",166123,164403,79242,20875,5780,15095,48461,3312,45149,9906,1312,8594,85161,19940,5149,14791,52274,6656,45618,12947,2059,10888,47,165,2012
"Washington County, Tennessee",125094,123311,59967,12309,5417,6892,38585,3492,35093,9073,767,8306,63344,12635,4506,8129,40482,5060,35422,10227,1780,8447,47,179,2012
"Williamson County, Tennessee",192911,192181,93839,28360,3507,24853,56682,1814,54868,8797,556,8241,98342,26162,2967,23195,60925,1808,59117,11255,1120,10135,47,187,2012
"Wilson County, Tennessee",118961,117884,56880,14447,2830,11617,34790,1938,32852,7643,691,6952,61004,14390,2276,12114,37846,3447,34399,8768,981,7787,47,189,2012
"Angelina County, Texas",87597,85323,40887,11623,6253,5370,23705,2940,20765,5559,744,4815,44436,11584,5811,5773,26094,5256,20838,6758,1029,5729,48,005,2012
"Bastrop County, Texas",74763,72663,36917,10287,3499,6788,22637,1168,21469,3993,450,3543,35746,8965,4429,4536,22052,1391,20661,4729,627,4102,48,021,2012
"Bell County, Texas",323037,298573,139900,46066,13212,32854,81358,5061,76297,12476,1589,10887,158673,43374,10414,32960,99491,7069,92422,15808,3822,11986,48,027,2012
"Bexar County, Texas",1785704,1756117,855342,240777,105331,135446,534493,42300,492193,80072,12640,67432,900775,231764,104200,127564,562238,62487,499751,106773,23311,83462,48,029,2012
"Bowie County, Texas",93148,87827,42149,11420,5546,5874,25346,2079,23267,5383,574,4809,45678,10795,3916,6879,27304,2542,24762,7579,1472,6107,48,037,2012
"Brazoria County, Texas",324769,315189,154220,43746,13482,30264,96322,3427,92895,14152,1576,12576,160969,43915,13733,30182,99538,6267,93271,17516,2337,15179,48,039,2012
"Brazos County, Texas",200665,197102,99623,21218,7235,13983,71673,2990,68683,6732,637,6095,97479,20041,7355,12686,68970,4289,64681,8468,1188,7280,48,041,2012
"Cameron County, Texas",415557,412763,198620,68528,46168,22360,109221,10262,98959,20871,6068,14803,214143,65607,43211,22396,122010,13885,108125,26526,10272,16254,48,061,2012
"Collin County, Texas",834642,831611,409306,118664,17113,101551,258534,7381,251153,32108,2486,29622,422305,113108,17501,95607,269989,10161,259828,39208,3566,35642,48,085,2012
"Comal County, Texas",114384,113358,55197,13055,4044,9011,33498,1536,31962,8644,541,8103,58161,12897,4053,8844,35587,2075,33512,9677,962,8715,48,091,2012
"Coryell County, Texas",77231,59542,26668,10413,2362,8051,13704,1438,12266,2551,95,2456,32874,10185,1649,8536,19444,1784,17660,3245,356,2889,48,099,2012
"Dallas County, Texas",2453843,2432307,1200075,341197,166315,174882,765617,50217,715400,93261,13122,80139,1232232,328569,167841,160728,778396,78386,700010,125267,20428,104839,48,113,2012
"Denton County, Texas",707304,703424,346122,97451,20801,76650,224597,5763,218834,24074,1921,22153,357302,92863,19415,73448,235451,10397,225054,28988,4290,24698,48,121,2012
"Ector County, Texas",144325,142953,71400,21983,6742,15241,43293,2055,41238,6124,879,5245,71553,19345,6694,12651,44235,3220,41015,7973,1508,6465,48,135,2012
"Ellis County, Texas",153969,152664,75595,22311,7785,14526,45825,2049,43776,7459,516,6943,77069,20763,6281,14482,47566,3074,44492,8740,1305,7435,48,139,2012
"El Paso County, Texas",827398,803015,381764,122935,63764,59171,222742,19233,203509,36087,9125,26962,421251,119366,55989,63377,252040,26720,225320,49845,16529,33316,48,141,2012
"Fort Bend County, Texas",627293,622347,304126,90904,16512,74392,189408,6502,182906,23814,2850,20964,318221,86892,19792,67100,203162,8428,194734,28167,4880,23287,48,157,2012
"Galveston County, Texas",300484,296967,147088,38700,11965,26735,91906,5451,86455,16482,1632,14850,149879,36140,12446,23694,94706,6279,88427,19033,3176,15857,48,167,2012
"Grayson County, Texas",121935,120702,58543,14467,6204,8263,35465,3337,32128,8611,885,7726,62159,14223,7189,7034,37690,4063,33627,10246,1407,8839,48,181,2012
"Gregg County, Texas",122658,120927,59145,15621,6760,8861,36826,2838,33988,6698,459,6239,61782,15481,6998,8483,36906,4348,32558,9395,1217,8178,48,183,2012
"Guadalupe County, Texas",139841,137829,68302,19849,4403,15446,40770,2044,38726,7683,1321,6362,69527,17369,4266,13103,43300,1804,41496,8858,1903,6955,48,187,2012
"Harris County, Texas",4253700,4233300,2105175,597747,261858,335889,1348041,101914,1246127,159387,24822,134565,2128125,573344,259406,313938,1350444,147584,1202860,204337,39145,165192,48,201,2012
"Harrison County, Texas",67450,66880,33280,9306,2926,6380,19567,1900,17667,4407,630,3777,33600,7904,3113,4791,20589,1635,18954,5107,928,4179,48,203,2012
"Hays County, Texas",168990,167464,83175,21270,6202,15068,54894,923,53971,7011,580,6431,84289,19545,5784,13761,56852,3249,53603,7892,808,7084,48,209,2012
"Henderson County, Texas",79094,78258,37483,8641,4299,4342,22009,2707,19302,6833,520,6313,40775,9074,5116,3958,23277,3475,19802,8424,1134,7290,48,213,2012
"Hidalgo County, Texas",806552,798717,387599,139925,83527,56398,212867,14165,198702,34807,11831,22976,411118,135250,80627,54623,233561,23657,209904,42307,17360,24947,48,215,2012
"Hunt County, Texas",87079,86221,42842,11138,4286,6852,26284,1843,24441,5420,395,5025,43379,9972,4118,5854,26505,3309,23196,6902,718,6184,48,231,2012
"Jefferson County, Texas",251813,237252,115307,30364,14325,16039,71709,6066,65643,13234,2115,11119,121945,29265,14867,14398,73906,8489,65417,18774,3602,15172,48,245,2012
"Johnson County, Texas",153441,150851,75031,20671,6606,14065,46357,2453,43904,8003,462,7541,75820,20235,7322,12913,45631,4733,40898,9954,1424,8530,48,251,2012
"Kaufman County, Texas",106753,105768,52368,15697,3673,12024,31377,1611,29766,5294,385,4909,53400,14417,5022,9395,32729,2134,30595,6254,1042,5212,48,257,2012
"Liberty County, Texas",76571,70176,36144,10877,5176,5701,21233,1027,20206,4034,764,3270,34032,8515,4132,4383,20601,1670,18931,4916,660,4256,48,291,2012
"Lubbock County, Texas",285760,282005,138832,35054,15425,19629,90410,4331,86079,13368,2183,11185,143173,33527,14777,18750,91962,8765,83197,17684,2731,14953,48,303,2012
"McLennan County, Texas",238707,233963,113136,29953,13055,16898,70443,6030,64413,12740,1780,10960,120827,28648,12703,15945,75356,7083,68273,16823,2859,13964,48,309,2012
"Midland County, Texas",146645,145735,72098,20322,4086,16236,45068,1005,44063,6708,904,5804,73637,19759,4925,14834,44904,2985,41919,8974,1264,7710,48,329,2012
"Montgomery County, Texas",485047,482697,238898,66917,19429,47488,147667,5454,142213,24314,1928,22386,243799,64321,16009,48312,149870,9415,140455,29608,3773,25835,48,339,2012
"Nacogdoches County, Texas",66034,65276,30651,7203,3696,3507,20210,1390,18820,3238,507,2731,34625,8484,4060,4424,21996,2544,19452,4145,801,3344,48,347,2012
"Nueces County, Texas",347691,343401,168411,44703,22252,22451,104589,10788,93801,19119,2998,16121,174990,43091,21241,21850,108055,15506,92549,23844,5044,18800,48,355,2012
"Orange County, Texas",82977,82357,40937,10670,4280,6390,25255,2587,22668,5012,585,4427,41420,10021,4502,5519,25321,2978,22343,6078,682,5396,48,361,2012
"Parker County, Texas",119712,116837,59003,15304,3520,11784,36161,1218,34943,7538,444,7094,57834,13693,3760,9933,36045,2138,33907,8096,824,7272,48,367,2012
"Potter County, Texas",122335,116096,57417,17289,7579,9710,34791,1634,33157,5337,670,4667,58679,16748,6780,9968,34400,3747,30653,7531,1484,6047,48,375,2012
"Randall County, Texas",125082,124271,60730,16180,4147,12033,37996,977,37019,6554,330,6224,63541,14141,3150,10991,40315,2124,38191,9085,774,8311,48,381,2012
"Rockwall County, Texas",83021,82299,39534,11607,1985,9622,24093,605,23488,3834,521,3313,42765,12114,1705,10409,26026,1693,24333,4625,613,4012,48,397,2012
"San Patricio County, Texas",65600,64793,32216,9024,3485,5539,19254,1720,17534,3938,621,3317,32577,8684,3517,5167,19259,2760,16499,4634,776,3858,48,409,2012
"Smith County, Texas",214821,212256,102421,28218,10868,17350,60711,3897,56814,13492,1605,11887,109835,26271,9700,16571,66071,5861,60210,17493,2903,14590,48,423,2012
"Tarrant County, Texas",1880153,1865239,915106,264055,94556,169499,575317,28404,546913,75734,6906,68828,950133,252988,90490,162498,599085,49405,549680,98060,12403,85657,48,439,2012
"Taylor County, Texas",133473,129581,62589,16922,7368,9554,38353,3383,34970,7314,1248,6066,66992,15727,7277,8450,41159,5610,35549,10106,1290,8816,48,441,2012
"Tom Green County, Texas",113281,108137,51914,12893,5355,7538,32022,2290,29732,6999,539,6460,56223,12616,4811,7805,34021,2760,31261,9586,895,8691,48,451,2012
"Travis County, Texas",1095584,1087905,547680,132503,52279,80224,378394,21475,356919,36783,4384,32399,540225,127391,45704,81687,366720,33144,333576,46114,6299,39815,48,453,2012
"Victoria County, Texas",89269,88113,43103,12144,4314,7830,25778,1475,24303,5181,823,4358,45010,11361,4239,7122,26909,2354,24555,6740,1363,5377,48,469,2012
"Walker County, Texas",68408,48649,23104,6931,2329,4602,13241,953,12288,2932,418,2514,25545,3967,1123,2844,18531,1750,16781,3047,182,2865,48,471,2012
"Webb County, Texas",259172,256878,124359,45587,29642,15945,69990,5991,63999,8782,3217,5565,132519,44159,26027,18132,76518,9129,67389,11842,4729,7113,48,479,2012
"Wichita County, Texas",131559,116320,54604,15811,7052,8759,31351,1665,29686,7442,746,6696,61716,14054,5953,8101,38307,3711,34596,9355,1314,8041,48,485,2012
"Williamson County, Texas",456232,452826,222825,65019,14987,50032,138203,5727,132476,19603,1283,18320,230001,61751,13093,48658,143975,6975,137000,24275,2226,22049,48,491,2012
