"","State","Year","Governor","Senate","House","total_gov"
"X10","Alabama",2010,"R","D","D","Split"
"X11","Alabama",2011,"R","R","R","R"
"X12","Alabama",2012,"R","R","R","R"
"X13","Alabama",2013,"R","R","R","R"
"X14","Alabama",2014,"R","R","R","R"
"X15","Alabama",2015,"R","R","R","R"
"X16","Alabama",2016,"R","R","R","R"
"X17","Alabama",2017,"R","R","R","R"
"X18","Alabama",2018,"R","R","R","R"
"X19","Alabama",2019,"R","R","R","R"
"X20","Alabama",2020,"R","R","R","R"
"X21","Alabama",2021,"R","R","R","R"
"X22","Alabama",2022,"R","R","R","R"
"X23","Alabama",2023,"R","R","R","R"
"X24","Alabama",2024,"R","R","R","R"
"X25","Alabama",2025,"R","R","R","R"
"X101","Alaska",2010,"R","D","R","Split"
"X111","Alaska",2011,"R","D","R","Split"
"X121","Alaska",2012,"R","D","R","Split"
"X131","Alaska",2013,"R","R","R","R"
"X141","Alaska",2014,"R","R","R","R"
"X151","Alaska",2015,"I","R","R","Split"
"X161","Alaska",2016,"I","R","R","Split"
"X171","Alaska",2017,"I","R","D","Split"
"X181","Alaska",2018,"I","R","D","Split"
"X191","Alaska",2019,"R","R","S","Split"
"X201","Alaska",2020,"R","R","S","Split"
"X211","Alaska",2021,"R","R","S","Split"
"X221","Alaska",2022,"R","R","S","Split"
"X231","Alaska",2023,"R","S","S","Split"
"X241","Alaska",2024,"R","S","S","Split"
"X251","Alaska",2025,"R","S","S","Split"
"X102","Arizona",2010,"R","R","R","R"
"X112","Arizona",2011,"R","R","R","R"
"X122","Arizona",2012,"R","R","R","R"
"X132","Arizona",2013,"R","R","R","R"
"X142","Arizona",2014,"R","R","R","R"
"X152","Arizona",2015,"R","R","R","R"
"X162","Arizona",2016,"R","R","R","R"
"X172","Arizona",2017,"R","R","R","R"
"X182","Arizona",2018,"R","R","R","R"
"X192","Arizona",2019,"R","R","R","R"
"X202","Arizona",2020,"R","R","R","R"
"X212","Arizona",2021,"R","R","R","R"
"X222","Arizona",2022,"R","R","R","R"
"X232","Arizona",2023,"D","R","R","Split"
"X242","Arizona",2024,"D","R","R","Split"
"X252","Arizona",2025,"D","R","R","Split"
"X103","Arkansas",2010,"D","D","D","D"
"X113","Arkansas",2011,"D","D","D","D"
"X123","Arkansas",2012,"D","D","D","D"
"X133","Arkansas",2013,"D","R","R","Split"
"X143","Arkansas",2014,"D","R","R","Split"
"X153","Arkansas",2015,"R","R","R","R"
"X163","Arkansas",2016,"R","R","R","R"
"X173","Arkansas",2017,"R","R","R","R"
"X183","Arkansas",2018,"R","R","R","R"
"X193","Arkansas",2019,"R","R","R","R"
"X203","Arkansas",2020,"R","R","R","R"
"X213","Arkansas",2021,"R","R","R","R"
"X223","Arkansas",2022,"R","R","R","R"
"X233","Arkansas",2023,"R","R","R","R"
"X243","Arkansas",2024,"R","R","R","R"
"X253","Arkansas",2025,"R","R","R","R"
"X104","California",2010,"R","D","D","Split"
"X114","California",2011,"D","D","D","D"
"X124","California",2012,"D","D","D","D"
"X134","California",2013,"D","D","D","D"
"X144","California",2014,"D","D","D","D"
"X154","California",2015,"D","D","D","D"
"X164","California",2016,"D","D","D","D"
"X174","California",2017,"D","D","D","D"
"X184","California",2018,"D","D","D","D"
"X194","California",2019,"D","D","D","D"
"X204","California",2020,"D","D","D","D"
"X214","California",2021,"D","D","D","D"
"X224","California",2022,"D","D","D","D"
"X234","California",2023,"D","D","D","D"
"X244","California",2024,"D","D","D","D"
"X254","California",2025,"D","D","D","D"
"X105","Colorado",2010,"D","D","D","D"
"X115","Colorado",2011,"D","D","R","Split"
"X125","Colorado",2012,"D","D","R","Split"
"X135","Colorado",2013,"D","D","D","D"
"X145","Colorado",2014,"D","D","D","D"
"X155","Colorado",2015,"D","R","D","Split"
"X165","Colorado",2016,"D","R","D","Split"
"X175","Colorado",2017,"D","R","D","Split"
"X185","Colorado",2018,"D","R","D","Split"
"X195","Colorado",2019,"D","D","D","D"
"X205","Colorado",2020,"D","D","D","D"
"X215","Colorado",2021,"D","D","D","D"
"X225","Colorado",2022,"D","D","D","D"
"X235","Colorado",2023,"D","D","D","D"
"X245","Colorado",2024,"D","D","D","D"
"X255","Colorado",2025,"D","D","D","D"
"X106","Connecticut",2010,"R","D","D","Split"
"X116","Connecticut",2011,"D","D","D","D"
"X126","Connecticut",2012,"D","D","D","D"
"X136","Connecticut",2013,"D","D","D","D"
"X146","Connecticut",2014,"D","D","D","D"
"X156","Connecticut",2015,"D","D","D","D"
"X166","Connecticut",2016,"D","D","D","D"
"X176","Connecticut",2017,"D","D","D","D"
"X186","Connecticut",2018,"D","D","D","D"
"X196","Connecticut",2019,"D","D","D","D"
"X206","Connecticut",2020,"D","D","D","D"
"X216","Connecticut",2021,"D","D","D","D"
"X226","Connecticut",2022,"D","D","D","D"
"X236","Connecticut",2023,"D","D","D","D"
"X246","Connecticut",2024,"D","D","D","D"
"X256","Connecticut",2025,"D","D","D","D"
"X107","Delaware",2010,"D","D","D","D"
"X117","Delaware",2011,"D","D","D","D"
"X127","Delaware",2012,"D","D","D","D"
"X137","Delaware",2013,"D","D","D","D"
"X147","Delaware",2014,"D","D","D","D"
"X157","Delaware",2015,"D","D","D","D"
"X167","Delaware",2016,"D","D","D","D"
"X177","Delaware",2017,"D","D","D","D"
"X187","Delaware",2018,"D","D","D","D"
"X197","Delaware",2019,"D","D","D","D"
"X207","Delaware",2020,"D","D","D","D"
"X217","Delaware",2021,"D","D","D","D"
"X227","Delaware",2022,"D","D","D","D"
