state,benefits_total,benefits_federal,benefits_state,administration_total,administration_federal,administration_state,medicaid_total,medicaid_federal,medicaid_state,year
new mexico,8105.771112,6716.002541,1389.768571,367.184384,243.316603,123.867781,8472.955496,6959.319144,1513.636352,2023
new york,92444.864932,58919.286904,33525.578028,2156.814122,1226.059655,930.754467,94601.679054,60145.346559,34456.332495,2023
north carolina,19325.608483,14082.254148,5243.354335,1126.274132,696.948462,429.32567,20451.882615,14779.20261,5672.680005,2023
north dakota,1515.216578,1001.235641,513.980937,98.162749,67.396208,30.766541,1613.379327,1068.6318489999999,544.747478,2023
ohio,31665.985589,23437.380725,8228.604864,1185.742065,723.082377,462.659688,32851.727654,24160.463101999998,8691.264552,2023
oklahoma,8604.968217,7045.919678,1559.048539,249.469752,149.023225,100.446527,8854.437969,7194.942903,1659.495066,2023
oregon,14667.985607,11083.955446,3584.030161,659.905766,382.287468,277.618298,15327.891373,11466.242914,3861.648459,2023
pennsylvania,43766.971978,27823.81884,15943.153138,1204.383534,728.797593,475.585941,44971.355512,28552.616433,16418.739079,2023
rhode island,3448.572775,2284.814575,1163.7582,236.602787,150.093605,86.509182,3685.175562,2434.90818,1250.267382,2023
south carolina,8451.464561,6369.982551,2081.48201,420.224009,268.993393,151.230616,8871.68857,6638.975944,2232.712626,2023
south dakota,1173.484201,802.065324,371.418877,90.131665,58.694353,31.437312,1263.615866,860.759677,402.85618900000003,2023
tennessee,12469.83877,8846.687312,3623.151458,964.362878,686.320243,278.042635,13434.201648,9533.007555,3901.194093,2023
texas,56514.110478,36906.607936,19607.502542,1908.751897,1168.534512,740.217385,58422.862375000004,38075.142448,20347.719927,2023
utah,4531.351223,3420.756566,1110.594657,196.823437,127.590221,69.233216,4728.17466,3548.346787,1179.8278730000002,2023
vermont,1997.411908,1311.476751,685.935157,177.568085,113.360855,64.20723,2174.979993,1424.8376059999998,750.142387,2023
virginia,21121.573951,14067.481313,7054.092638,477.571087,313.296035,164.275052,21599.145038,14380.777348,7218.36769,2023
washington,18341.376203,12219.08713,6122.289073,1157.163487,628.721604,528.441883,19498.53969,12847.808734,6650.730955999999,2023
west virginia,5427.180909,4442.930004,984.250905,262.97801,199.454946,63.523064,5690.1589189999995,4642.38495,1047.773969,2023
wisconsin,11983.836909,7809.506926,4174.329983,548.697506,347.924897,200.772609,12532.534415,8157.431823,4375.102591999999,2023
wyoming,715.906959,420.290999,295.61596,61.727042,44.023251,17.703791,777.634001,464.31425,313.319751,2023
