state,benefits_total,benefits_federal,benefits_state,administration_total,administration_federal,administration_state,medicaid_total,medicaid_federal,medicaid_state,year
california,97209.600476,61466.317698,35743.282778,6676.972604,4066.239232,2610.733372,103886.57308,65532.55693,38354.01615,2020
colorado,9571.14266,5820.669815,3750.472845,546.719174,353.993956,192.725218,10117.861834,6174.663771,3943.198063,2020
connecticut,8488.113264,5297.268649,3190.844615,340.284491,214.671577,125.612914,8828.397755,5511.940226,3316.457529,2020
delaware,2376.24028,1643.419221,732.821059,81.521845,49.473544,32.048301,2457.762125,1692.892765,764.86936,2020
florida,25287.46319,16822.792418,8464.670772,646.539359,383.846509,262.69285,25934.002548999997,17206.638927,8727.363621999999,2020
georgia,11298.595472,8146.999857,3151.595615,525.420071,332.989095,192.430976,11824.015543000001,8479.988952,3344.0265910000003,2020
hawaii,2330.861339,1573.917432,756.943907,100.984744,68.632639,32.352105,2431.846083,1642.550071,789.296012,2020
idaho,2486.061085,1915.103791,570.957294,129.436281,83.165851,46.27043,2615.4973659999996,1998.269642,617.2277240000001,2020
illinois,22387.970467,14076.248586,8311.721881,935.37849,591.077912,344.300578,23323.348957,14667.326498,8656.022459,2020
indiana,14269.009974,10699.077435,3569.932539,513.127332,325.532542,187.59479,14782.137306,11024.609977,3757.527329,2020
iowa,5822.570106,4097.514412,1725.055694,140.671802,93.652161,47.019641,5963.241908,4191.166573,1772.075335,2020
kansas,3829.902734,2450.313005,1379.589729,227.451441,161.192854,66.258587,4057.354175,2611.505859,1445.848316,2020
kentucky,11905.61344,9606.323648,2299.289792,285.275149,200.780032,84.495117,12190.888588999998,9807.10368,2383.784909,2020
louisiana,12559.462713,9603.032911,2956.429802,346.112968,235.384428,110.72854,12905.575681,9838.417339,3067.158342,2020
maine,3208.972015,2276.525559,932.446456,146.526455,97.839801,48.686654,3355.49847,2374.3653600000002,981.13311,2020
maryland,11901.582041,7511.186725,4390.395316,524.394615,332.792105,191.60251,12425.976655999999,7843.97883,4581.997826,2020
massachusetts,17967.352114,10681.409844,7285.94227,960.363378,580.617445,379.745933,18927.715492000003,11262.027289,7665.688203,2020
michigan,19110.820883,14066.719783,5044.1011,668.856354,424.451124,244.40523,19779.677237,14491.170907,5288.50633,2020
minnesota,13611.654951,8306.70937,5304.945581,752.85387,433.009921,319.843949,14364.508821000001,8739.719291000001,5624.78953,2020
mississippi,5596.349573,4570.834914,1025.514659,172.68462,117.569544,55.115076,5769.034193,4688.404458,1080.629735,2020
missouri,10905.114581,7728.609793,3176.504788,429.973805,265.068683,164.905122,11335.088386,7993.678476,3341.4099100000003,2020
montana,1992.926465,1583.601892,409.324573,101.454004,70.340976,31.113028,2094.380469,1653.9428679999999,440.437601,2020
nebraska,2290.915253,1364.57354,926.341713,167.717446,121.819836,45.89761,2458.6326990000002,1486.393376,972.239323,2020
nevada,4119.506708,3201.657497,917.849211,195.67183,118.875711,76.796119,4315.178538,3320.5332080000003,994.64533,2020
new hampshire,2252.87668,1365.948739,886.927941,117.649158,77.059919,40.589239,2370.525838,1443.008658,927.51718,2020
new jersey,16411.726557,10223.951485,6187.775072,1063.778341,633.323043,430.455298,17475.504898000003,10857.274528,6618.23037,2020
new mexico,6287.136348,5184.523029,1102.613319,297.145818,200.280396,96.865422,6584.282166,5384.803425,1199.4787410000001,2020
new york,70674.153157,45261.554257,25412.5989,2142.043527,1250.028254,892.015273,72816.196684,46511.582511,26304.614173,2020
north carolina,14778.330531,10607.802934,4170.527597,829.4805,563.058268,266.422232,15607.811031,11170.861202,4436.949829,2020
north dakota,1274.342537,810.591726,463.750811,100.102904,80.273639,19.829265,1374.445441,890.865365,483.580076,2020
ohio,25194.45416,18231.226632,6963.227528,992.783809,584.999003,407.784806,26187.237969,18816.225635000003,7371.012334,2020
oklahoma,4971.314398,3601.765957,1369.548441,202.519955,120.151157,82.368798,5173.834353,3721.917114,1451.9172389999999,2020
oregon,10660.624,7979.950662,2680.673338,535.737956,330.066957,205.670999,11196.361956,8310.017619,2886.344337,2020
pennsylvania,34964.896749,21953.05534,13011.841409,1037.358355,632.578592,404.779763,36002.255103999996,22585.633932,13416.621172000001,2020
rhode island,2810.004409,1796.231432,1013.772977,151.4297,95.90131,55.52839,2961.4341090000003,1892.132742,1069.301367,2020
south carolina,6651.671712,5013.497813,1638.173899,379.936495,248.201813,131.734682,7031.608207,5261.699626,1769.908581,2020
south dakota,926.188243,617.062284,309.125959,56.311697,33.480412,22.831285,982.49994,650.542696,331.957244,2020
tennessee,11538.272557,8059.80105,3478.471507,719.862474,500.214833,219.647641,12258.135031,8560.015883,3698.119148,2020
texas,41798.895649,27533.346416,14265.549233,1498.757034,911.013047,587.743987,43297.652683,28444.359463,14853.29322,2020
utah,3084.967869,2313.444771,771.523098,176.895064,115.07355,61.821514,3261.862933,2428.518321,833.344612,2020
vermont,1616.960203,1021.003391,595.956812,178.33337,123.895179,54.438191,1795.2935730000002,1144.89857,650.395003,2020
virginia,13512.390024,8560.707463,4951.682561,480.7688,315.24035,165.52845,13993.158824,8875.947813,5117.211010999999,2020
washington,13616.067808,8834.856423,4781.211385,961.50313,531.629458,429.873672,14577.570938,9366.485880999999,5211.085056999999,2020
west virginia,4145.950758,3396.992657,748.958101,148.741132,103.806944,44.934188,4294.69189,3500.7996009999997,793.892289,2020
wisconsin,9345.285225,6113.830434,3231.454791,501.005696,316.198805,184.806891,9846.290921,6430.029239,3416.2616820000003,2020
wyoming,610.63296,347.47046,263.1625,81.398495,58.375495,23.023,692.031455,405.845955,286.18550000000005,2020
alabama,6606.318076,5257.674271,1348.643805,224.630826,138.874932,85.755894,6830.948901999999,5396.549203,1434.3996989999998,2021
alaska,2144.763808,1630.098677,514.665131,156.625814,95.996931,60.628883,2301.389622,1726.0956079999999,575.294014,2021
arizona,17585.138173,14274.761176,3310.376997,322.625991,211.392771,111.23322,17907.764164,14486.153947,3421.610217,2021
arkansas,7135.715024,5818.491087,1317.223937,524.10266,319.784448,204.318212,7659.817684,6138.275535000001,1521.5421489999999,2021
california,108748.132753,70964.934493,37783.19826,6902.436631,4188.981773,2713.454858,115650.569384,75153.916266,40496.653117999995,2021
colorado,10693.728321,6935.228428,3758.499893,492.119094,305.437846,186.681248,11185.847415,7240.666274,3945.181141,2021
connecticut,9249.509783,5998.479034,3251.030749,375.733815,248.017345,127.71647,9625.243598,6246.496379,3378.747219,2021
delaware,2413.163883,1667.481187,745.682696,100.92848,60.71438,40.2141,2514.092363,1728.195567,785.896796,2021
florida,28041.254009,19377.610096,8663.643913,719.202842,429.214711,289.988131,28760.456851,19806.824807,8953.632044,2021
georgia,12210.335666,8991.602771,3218.732895,498.732572,317.568526,181.164046,12709.068238000002,9309.171297,3399.896941,2021
hawaii,2787.226892,1915.208583,872.018309,111.567016,73.185632,38.381384,2898.793908,1988.394215,910.3996930000001,2021
idaho,2872.80906,2288.482323,584.326737,134.812647,92.870768,41.941879,3007.6217070000002,2381.353091,626.268616,2021
illinois,26827.868427,17436.334243,9391.534184,1122.662792,695.608189,427.054603,27950.531219,18131.942432,9818.588787,2021
indiana,16662.338954,12979.082511,3683.256443,491.418609,315.180193,176.238416,17153.757563,13294.262704,3859.4948590000004,2021
iowa,5926.977802,4318.520293,1608.457509,144.336667,98.065225,46.271442,6071.314469,4416.585518,1654.728951,2021
kansas,4061.376155,2688.071916,1373.304239,220.107074,141.832667,78.274407,4281.4832289999995,2829.904583,1451.578646,2021
kentucky,14485.962106,11908.79663,2577.165476,317.5828,215.224649,102.358151,14803.544906000001,12124.021279,2679.523627,2021
louisiana,13256.442445,10463.216638,2793.225807,390.58811,256.026335,134.561775,13647.030555000001,10719.242973,2927.787582,2021
maine,3344.325038,2434.457688,909.86735,160.7718,108.217987,52.553813,3505.096838,2542.675675,962.421163,2021
maryland,13382.585628,8672.339202,4710.246426,565.342859,360.344723,204.998136,13947.928487000001,9032.683925,4915.244562,2021
massachusetts,19909.697384,12285.777805,7623.919579,1154.382502,678.219265,476.163237,21064.079886,12963.99707,8100.082816,2021
michigan,20723.983781,15680.231522,5043.752259,616.847387,381.110886,235.736501,21340.831168,16061.342408,5279.48876,2021
minnesota,14844.071687,9200.563803,5643.507884,746.577977,432.466843,314.111134,15590.649664,9633.030646,5957.619017999999,2021
mississippi,5738.901095,4851.057752,887.843343,184.486179,127.138947,57.347232,5923.387274000001,4978.196699,945.190575,2021
missouri,11436.249176,8277.487971,3158.761205,435.686316,271.193139,164.493177,11871.935491999999,8548.681110000001,3323.2543819999996,2021
montana,2159.386283,1749.109491,410.276792,104.130076,72.27961,31.850466,2263.5163589999997,1821.389101,442.127258,2021
nebraska,3043.286947,2020.386842,1022.900105,211.632802,153.725372,57.90743,3254.919749,2174.1122139999998,1080.8075350000001,2021
nevada,4735.008193,3642.278022,1092.730171,196.356659,115.380949,80.97571,4931.364852,3757.658971,1173.7058809999999,2021
new hampshire,2381.983996,1505.292507,876.691489,115.81983,76.383234,39.436596,2497.803826,1581.6757409999998,916.128085,2021
new jersey,18952.810634,12279.321534,6673.4891,1004.42777,627.864501,376.563269,19957.238404,12907.186035,7050.052369,2021
new mexico,6868.750735,5743.574639,1125.176096,287.242285,195.014243,92.228042,7155.99302,5938.588882,1217.4041379999999,2021
new york,71121.854348,45534.30173,25587.552618,2146.119739,1267.830387,878.289352,73267.974087,46802.132117,26465.84197,2021
north carolina,16732.381973,12332.274216,4400.107757,967.709203,639.074671,328.634532,17700.091175999998,12971.348887,4728.742289,2021
north dakota,1370.853176,943.052396,427.80078,105.396134,73.218543,32.177591,1476.2493100000002,1016.270939,459.978371,2021
ohio,27416.270572,20362.852104,7053.418468,1010.295682,611.387067,398.908615,28426.566254,20974.239171,7452.327083,2021
oklahoma,5333.355495,4169.104692,1164.250803,223.735401,136.642329,87.093072,5557.090896,4305.747021,1251.343875,2021
oregon,11182.759815,8496.035425,2686.72439,561.418324,346.892433,214.525891,11744.178139,8842.927858,2901.2502809999996,2021
pennsylvania,37182.173112,23824.459264,13357.713848,1054.249179,644.588475,409.660704,38236.422290999995,24469.047739,13767.374552,2021
rhode island,3003.255442,2022.982896,980.272546,174.40132,116.055911,58.345409,3177.656762,2139.038807,1038.617955,2021
south carolina,7017.110878,5393.150505,1623.960373,384.430666,251.841811,132.588855,7401.541544000001,5644.992316,1756.5492279999999,2021
south dakota,993.783946,693.993631,299.790315,66.211164,41.853036,24.358128,1059.99511,735.846667,324.14844300000004,2021
tennessee,11097.270878,8041.230205,3056.040673,767.829456,550.827536,217.00192,11865.100333999999,8592.057741,3273.042593,2021
texas,45280.678937,30800.522403,14480.156534,1586.66833,966.461206,620.207124,46867.347267,31766.983609,15100.363658,2021
utah,3522.910222,2743.897807,779.012415,169.833268,114.387679,55.445589,3692.74349,2858.2854859999998,834.4580040000001,2021
vermont,1673.166756,1128.346276,544.82048,158.807575,104.077777,54.729798,1831.9743310000001,1232.424053,599.5502779999999,2021
virginia,15790.735684,10403.028905,5387.706779,414.060336,271.159394,142.900942,16204.79602,10674.188299,5530.607721,2021
washington,16776.780834,11442.944427,5333.836407,1039.460802,570.935677,468.525125,17816.241636000002,12013.880104,5802.361532,2021
west virginia,4621.996577,3854.310539,767.686038,182.273984,128.250669,54.023315,4804.270561,3982.561208,821.7093530000001,2021
wisconsin,10293.593549,6688.744502,3604.849047,515.568219,334.657517,180.910702,10809.161768,7023.402018999999,3785.7597490000003,2021
wyoming,588.254128,354.580819,233.673309,81.272136,58.701145,22.570991,669.5262640000001,413.281964,256.2443,2021
alabama,7166.453694,5685.189684,1481.26401,240.522096,144.050787,96.471309,7406.9757899999995,5829.240471,1577.7353190000001,2022
alaska,2435.528905,1910.982417,524.546488,156.932605,94.933591,61.999014,2592.46151,2005.916008,586.5455019999999,2022
arizona,20257.896179,16932.453066,3325.443113,330.72589,204.658157,126.067733,20588.622069,17137.111223,3451.5108459999997,2022
arkansas,8533.079808,7022.132091,1510.947717,442.394689,289.267708,153.126981,8975.474497000001,7311.399799000001,1664.074698,2022
california,117884.56229,80357.993412,37526.568878,7190.142465,4323.307364,2866.835101,125074.704755,84681.30077599999,40393.403978999995,2022
colorado,11873.695582,7965.985032,3907.71055,550.877485,334.000453,216.877032,12424.573067000001,8299.985485,4124.587582,2022
connecticut,9671.697756,6285.018525,3386.679231,353.451396,226.295645,127.155751,10025.149152,6511.314170000001,3513.834982,2022
