state_name,medicaid_births,pct_medicaid_births,year
south dakota,"3,516",0.2956360885,2018
tennessee,"37,944",0.4698889178,2018
texas,"176,219",0.4654195191,2018
utah,"11,184",0.2369039802,2018
vermont,"2,271",0.418078056,2018
virginia,"29,927",0.2997405927,2018
washington,"32,999",0.3833304292,2018
west virginia,"8,628",0.4728189391,2018
wisconsin,"23,115",0.3606196761,2018
wyoming,"2,065",0.3146906431,2018
alabama,"29,135",0.4970570673,2019
alaska,"3,759",0.3827122786,2019
arizona,"38,848",0.489423622,2019
arkansas,"16,594",0.4538343726,2019
california,"178,954",0.4008116843,2019
colorado,"23,433",0.3727274173,2019
connecticut,"12,736",0.3717671785,2019
delaware,"4,557",0.4314523764,2019
district of columbia,"4,232",0.4661306311,2019
florida,"102,581",0.4662730339,2019
georgia,"58,541",0.4632471057,2019
hawaii,"5,734",0.3413704828,2019
idaho,"7,547",0.3420659022,2019
illinois,"53,464",0.3815368806,2019
indiana,"31,131",0.3850035247,2019
iowa,"14,202",0.3772211745,2019
kansas,"10,486",0.2962565334,2019
kentucky,"25,456",0.4796774011,2019
louisiana,"35,632",0.6045367401,2019
maine,"4,383",0.372102895,2019
maryland,"28,191",0.4017070877,2019
massachusetts,"21,048",0.3045271062,2019
michigan,"44,044",0.4082457409,2019
minnesota,"21,477",0.3252760234,2019
mississippi,"22,437",0.6124303963,2019
missouri,"27,496",0.3812164654,2019
montana,"4,552",0.4108674068,2019
nebraska,"8,506",0.3436073521,2019
nevada,"15,104",0.4306569343,2019
new hampshire,"2,821",0.2382802602,2019
new jersey,"29,847",0.2997138123,2019
new mexico,"12,387",0.5395034843,2019
new york,"104,386",0.4711856603,2019
north carolina,"49,201",0.414411455,2019
north dakota,"2,420",0.2314903386,2019
ohio,"54,890",0.4082224586,2019
oklahoma,"24,896",0.5066031785,2019
oregon,"18,074",0.4317932056,2019
pennsylvania,"45,378",0.3380615362,2019
rhode island,"4,990",0.4904176904,2019
south carolina,"27,559",0.4831691153,2019
south dakota,"3,271",0.285701808,2019
tennessee,"39,136",0.486463642,2019
texas,"187,054",0.4953773712,2019
utah,"10,420",0.2225259471,2019
vermont,"2,168",0.4044021638,2019
virginia,"29,809",0.3059561322,2019
washington,"31,852",0.3751928853,2019
west virginia,"8,659",0.4774481694,2019
wisconsin,"22,295",0.3523786945,2019
wyoming,"1,958",0.2982482864,2019
alabama,"28,920",0.5016739813,2020
alaska,"3,674",0.388002957,2020
arizona,"36,750",0.4776014659,2020
arkansas,"15,352",0.4355053757,2020
california,"167,437",0.3984138353,2020
colorado,"22,086",0.3591569909,2020
connecticut,"12,263",0.3664973102,2020
delaware,"4,219",0.4059853734,2020
district of columbia,"4,013",0.4522199684,2020
florida,"97,732",0.466120732,2020
georgia,"57,730",0.4713691997,2020
hawaii,"5,501",0.348495407,2020
idaho,"7,574",0.351739191,2020
illinois,"51,681",0.3877102432,2020
