year,state,democratic_pres_votes,republican_pres_votes,other_pres_votes,total_pres_votes
2008,delaware,255459.0,152374.0,4579.0,412412.0
2008,district of columbia,245800.0,17367.0,2686.0,265853.0
2008,florida,4282366.0,4046212.0,63061.0,8391639.0
2008,georgia,1844137.0,2048744.0,32397.0,3925278.0
2008,hawaii,325201.0,120429.0,7112.0,452742.0
2008,idaho,236440.0,403012.0,15580.0,655032.0
2008,illinois,3419673.0,2031527.0,71851.0,5523051.0
2008,indiana,1374039.0,1345648.0,31367.0,2751054.0
2008,iowa,828940.0,682379.0,25501.0,1536820.0
2008,kansas,514765.0,699655.0,21452.0,1235872.0
2008,kentucky,751985.0,1048462.0,26061.0,1826508.0
2008,louisiana,781574.0,1148015.0,29496.0,1959085.0
2008,maine,421923.0,295273.0,13967.0,731163.0
2008,maryland,1629467.0,959862.0,42267.0,2631596.0
2008,massachusetts,1904103.0,1108885.0,68348.0,3081336.0
2008,michigan,2872579.0,2048639.0,80548.0,5001766.0
2008,minnesota,1573354.0,1275409.0,61606.0,2910369.0
2008,mississippi,554662.0,724497.0,6100.0,1285259.0
2008,missouri,1441911.0,1445814.0,37480.0,2925205.0
2008,montana,232156.0,243860.0,20056.0,496072.0
2008,nebraska,333319.0,452979.0,14983.0,801281.0
2008,nevada,533736.0,412827.0,21285.0,967848.0
2008,new hampshire,384826.0,316534.0,9610.0,710970.0
2008,new jersey,2215422.0,1613207.0,9869.0,3838498.0
2008,new mexico,472422.0,346832.0,10904.0,830158.0
2008,new york,4769700.0,2742298.0,79235.0,7591233.0
2008,north carolina,2142651.0,2128474.0,39664.0,4310789.0
2008,north dakota,141278.0,168601.0,6742.0,316621.0
2008,ohio,2933388.0,2674491.0,90169.0,5698048.0
2008,oklahoma,502496.0,960165.0,0.0,1462661.0
2008,oregon,1037291.0,738475.0,52098.0,1827864.0
2008,pennsylvania,3266523.0,2649934.0,61524.0,5977981.0
2008,rhode island,296571.0,165391.0,9804.0,471766.0
2008,south carolina,862449.0,1034896.0,23624.0,1920969.0
2008,south dakota,170924.0,203054.0,3730.0,377708.0
2008,tennessee,1087437.0,1479178.0,33509.0,2600124.0
2008,texas,3528633.0,4479328.0,69834.0,8077795.0
2008,utah,327670.0,596030.0,28670.0,952370.0
2008,vermont,219262.0,98974.0,6810.0,325046.0
2008,virginia,1959532.0,1725005.0,38723.0,3660184.0
2008,washington,1750848.0,1229216.0,56814.0,3036878.0
2008,west virginia,303857.0,397466.0,12128.0,713451.0
2008,wisconsin,1677211.0,1262393.0,43813.0,2983417.0
2008,wyoming,82868.0,164958.0,8209.0,256035.0
2012,alabama,795696.0,1255925.0,18732.0,2070353.0
2012,alaska,122640.0,164676.0,13179.0,300495.0
2012,arizona,1025232.0,1233654.0,40368.0,2299254.0
2012,arkansas,394409.0,647744.0,27315.0,1069468.0
2012,california,7854285.0,4839958.0,344304.0,13038547.0
2012,colorado,1322998.0,1185050.0,61169.0,2569217.0
2012,connecticut,905083.0,634892.0,18828.0,1558803.0
2012,delaware,242584.0,165484.0,5869.0,413937.0
2012,district of columbia,267070.0,21381.0,5313.0,293764.0
2012,florida,4237756.0,4163447.0,72976.0,8474179.0
2012,georgia,1773827.0,2078688.0,47535.0,3900050.0
2012,hawaii,306266.0,120937.0,7018.0,434221.0
2012,idaho,212787.0,420911.0,18576.0,652274.0
2012,illinois,3019512.0,2135102.0,87277.0,5241891.0
2012,indiana,1152887.0,1420543.0,51104.0,2624534.0
2012,iowa,822544.0,730617.0,29019.0,1582180.0
2012,kansas,439908.0,689809.0,26537.0,1156254.0
2012,kentucky,679370.0,1087190.0,30652.0,1797212.0
2012,louisiana,809141.0,1152262.0,32662.0,1994065.0
2012,maine,401306.0,292276.0,19598.0,713180.0
2012,maryland,1677844.0,971869.0,57614.0,2707327.0
2012,massachusetts,1921290.0,1188314.0,58163.0,3167767.0
