state,medicaid_births,pct_medicaid_births,year,num_enrollment,pct_enrollment,num_under_19,pct_under_19,pct_19_64,pct_over_65,governor,senate,house,total_gov,democratic_pres_votes,republican_pres_votes,other_pres_votes,total_pres_votes
nevada,,,2012,,,,,,,r,d,d,split,531373.0,463567.0,19978.0,1014918.0
new hampshire,,,2012,,,,,,,d,r,r,split,369561.0,329918.0,11452.0,710931.0
new jersey,,,2012,,,,,,,r,d,d,split,2125101.0,1477568.0,37623.0,3640292.0
new mexico,,,2012,,,,,,,r,d,d,split,415335.0,335788.0,32635.0,783758.0
new york,,,2012,,,,,,,d,r,d,split,4324228.0,2223397.0,514300.0,7061925.0
north carolina,,,2012,,,,,,,d,r,r,split,2178391.0,2270395.0,56586.0,4505372.0
north dakota,,,2012,,,,,,,r,r,r,r,124966.0,188320.0,9646.0,322932.0
ohio,,,2012,,,,,,,r,r,r,r,2827621.0,2661407.0,91794.0,5580822.0
oklahoma,,,2012,,,,,,,r,r,r,r,443547.0,891325.0,0.0,1334872.0
oregon,,,2012,,,,,,,d,d,s,split,970488.0,754175.0,64607.0,1789270.0
pennsylvania,,,2012,,,,,,,r,r,r,r,2990274.0,2680434.0,71332.0,5742040.0
rhode island,,,2012,,,,,,,i,d,d,split,279677.0,157204.0,9171.0,446052.0
south carolina,,,2012,,,,,,,r,r,r,r,865941.0,1071645.0,26532.0,1964118.0
south dakota,,,2012,,,,,,,r,r,r,r,145039.0,210610.0,8166.0,363815.0
tennessee,,,2012,,,,,,,r,r,r,r,960709.0,1462330.0,35538.0,2458577.0
texas,,,2012,,,,,,,r,r,r,r,3308124.0,4569843.0,115884.0,7993851.0
utah,,,2012,,,,,,,r,r,r,r,251813.0,740600.0,25027.0,1017440.0
vermont,,,2012,,,,,,,d,d,d,d,199239.0,92698.0,7353.0,299290.0
virginia,,,2012,,,,,,,r,r,r,r,1971820.0,1822522.0,60147.0,3791770.0
washington,,,2012,,,,,,,d,d,d,d,1755396.0,1290670.0,79450.0,3125516.0
west virginia,,,2012,,,,,,,d,d,d,d,238269.0,417655.0,14516.0,670440.0
wisconsin,,,2012,,,,,,,r,r,r,r,1620985.0,1410966.0,39483.0,3071434.0
wyoming,,,2012,,,,,,,r,r,r,r,69286.0,170962.0,8813.0,249061.0
alabama,,,2013,,,,,,,r,r,r,r,,,,
alaska,,,2013,,,,,,,r,r,r,r,,,,
arizona,,,2013,,,,,,,r,r,r,r,,,,
arkansas,,,2013,,,,,,,d,r,r,split,,,,
california,,,2013,,,,,,,d,d,d,d,,,,
colorado,,,2013,,,,,,,d,d,d,d,,,,
connecticut,,,2013,,,,,,,d,d,d,d,,,,
delaware,,,2013,,,,,,,d,d,d,d,,,,
florida,,,2013,,,,,,,r,r,r,r,,,,
georgia,,,2013,,,,,,,r,r,r,r,,,,
hawaii,,,2013,,,,,,,d,d,d,d,,,,
idaho,,,2013,,,,,,,r,r,r,r,,,,
illinois,,,2013,,,,,,,d,d,d,d,,,,
indiana,,,2013,,,,,,,r,r,r,r,,,,
iowa,,,2013,,,,,,,r,d,r,split,,,,
kansas,,,2013,,,,,,,r,r,r,r,,,,
kentucky,,,2013,,,,,,,d,r,d,split,,,,
louisiana,,,2013,,,,,,,r,r,r,r,,,,
maine,,,2013,,,,,,,r,d,d,split,,,,
maryland,,,2013,,,,,,,d,d,d,d,,,,
massachusetts,,,2013,,,,,,,d,d,d,d,,,,
michigan,,,2013,,,,,,,r,r,r,r,,,,
minnesota,,,2013,,,,,,,d,d,d,d,,,,
mississippi,,,2013,,,,,,,r,r,r,r,,,,
missouri,,,2013,,,,,,,d,r,r,split,,,,
montana,,,2013,,,,,,,d,r,r,split,,,,
nebraska,,,2013,,,,,,,r,-,-,-,,,,
nevada,,,2013,,,,,,,r,d,d,split,,,,
new hampshire,,,2013,,,,,,,d,r,d,split,,,,
new jersey,,,2013,,,,,,,r,d,d,split,,,,
new mexico,,,2013,,,,,,,r,d,d,split,,,,
new york,,,2013,,,,,,,d,r,d,split,,,,
north carolina,,,2013,,,,,,,r,r,r,r,,,,
north dakota,,,2013,,,,,,,r,r,r,r,,,,
ohio,,,2013,,,,,,,r,r,r,r,,,,
oklahoma,,,2013,,,,,,,r,r,r,r,,,,
oregon,,,2013,,,,,,,d,d,d,d,,,,
pennsylvania,,,2013,,,,,,,r,r,r,r,,,,
rhode island,,,2013,,,,,,,d,d,d,d,,,,
south carolina,,,2013,,,,,,,r,r,r,r,,,,
south dakota,,,2013,,,,,,,r,r,r,r,,,,
tennessee,,,2013,,,,,,,r,r,r,r,,,,
texas,,,2013,,,,,,,r,r,r,r,,,,
utah,,,2013,,,,,,,r,r,r,r,,,,
vermont,,,2013,,,,,,,d,d,d,d,,,,
virginia,,,2013,,,,,,,r,r,r,r,,,,
washington,,,2013,,,,,,,d,r,d,split,,,,
west virginia,,,2013,,,,,,,d,d,d,d,,,,
wisconsin,,,2013,,,,,,,r,r,r,r,,,,
wyoming,,,2013,,,,,,,r,r,r,r,,,,
alabama,,,2014,,,,,,,r,r,r,r,,,,
alaska,,,2014,,,,,,,r,r,r,r,,,,
arizona,,,2014,,,,,,,r,r,r,r,,,,
arkansas,,,2014,,,,,,,d,r,r,split,,,,
california,,,2014,,,,,,,d,d,d,d,,,,
colorado,,,2014,,,,,,,d,d,d,d,,,,
connecticut,,,2014,,,,,,,d,d,d,d,,,,
delaware,,,2014,,,,,,,d,d,d,d,,,,
florida,,,2014,,,,,,,r,r,r,r,,,,
georgia,,,2014,,,,,,,r,r,r,r,,,,
hawaii,,,2014,,,,,,,d,d,d,d,,,,
idaho,,,2014,,,,,,,r,r,r,r,,,,
illinois,,,2014,,,,,,,d,d,d,d,,,,
indiana,,,2014,,,,,,,r,r,r,r,,,,
iowa,,,2014,,,,,,,r,d,r,split,,,,
kansas,,,2014,,,,,,,r,r,r,r,,,,
kentucky,,,2014,,,,,,,d,r,d,split,,,,
louisiana,,,2014,,,,,,,r,r,r,r,,,,
maine,,,2014,,,,,,,r,d,d,split,,,,
maryland,,,2014,,,,,,,d,d,d,d,,,,
massachusetts,,,2014,,,,,,,d,d,d,d,,,,
michigan,,,2014,,,,,,,r,r,r,r,,,,
minnesota,,,2014,,,,,,,d,d,d,d,,,,
mississippi,,,2014,,,,,,,r,r,r,r,,,,
missouri,,,2014,,,,,,,d,r,r,split,,,,
montana,,,2014,,,,,,,d,r,r,split,,,,
nebraska,,,2014,,,,,,,r,-,-,-,,,,
nevada,,,2014,,,,,,,r,d,d,split,,,,
new hampshire,,,2014,,,,,,,d,r,d,split,,,,
